S,W,T,a0,a0/W,w/b,S/W,W-a0,λ,Dmax,fc,age,GF
400,100,100,50,0.5,0.26,4,50,0,4,59.1,28,112.034
400,100,100,50,0.5,0.26,4,50,0.6,10,81.7,28,172.206
400,100,100,50,0.5,0.26,4,50,0.6,16,84.3,28,194.126
400,100,100,50,0.5,0.26,4,50,0.6,20,75.7,28,237.536
400,100,100,50,0.5,0.26,4,50,0.39,20,82.7,28,171.564
400,100,100,50,0.5,0.26,4,50,0.6,20,86.5,28,187.143
400,100,100,50,0.5,0.26,4,50,0.8,20,66.5,28,179.672
400,100,100,50,0.5,0.44,4,50,0.26,20,43.5,28,148.749
400,100,100,50,0.5,0.44,4,50,0.43,20,50.6,28,174.138
400,100,100,50,0.5,0.44,4,50,0.6,20,55.8,28,175.638
600,150,80,50,0.33,0.51,4,100,0.55,19,33.1,7,120
304.8,76.2,76.2,15.24,0.2,0.53,4,60.96,0.56,10,39.438,8,163.2218
304.8,76.2,76.2,25.15,0.33,0.53,4,51.05,0.56,10,39.438,8,157.410925
304.8,76.2,76.2,30.48,0.4,0.53,4,45.72,0.56,10,39.438,8,147.77
304.8,76.2,76.2,38.1,0.5,0.53,4,38.1,0.56,10,39.438,8,109.67845
457.2,114.3,76.2,22.86,0.2,0.53,4,91.44,0.56,10,39.438,8,164.993675
457.2,114.3,76.2,37.72,0.33,0.53,4,76.58,0.56,10,39.438,8,138.506375
457.2,114.3,76.2,45.72,0.4,0.53,4,68.58,0.56,10,39.438,8,130.757025
457.2,114.3,76.2,57.15,0.5,0.53,4,57.15,0.56,10,39.438,8,117.003775
609.6,152.4,76.2,30.48,0.2,0.53,4,121.92,0.56,10,39.438,8,140.42175
609.6,152.4,76.2,50.29,0.33,0.53,4,102.11,0.56,10,39.438,8,126.340025
609.6,152.4,76.2,60.96,0.4,0.53,4,91.44,0.56,10,39.438,8,127.90575
609.6,152.4,76.2,76.2,0.5,0.53,4,76.2,0.56,10,39.438,8,132.20375
800,100,100,50,0.5,0.3,8,50,0.55,19,74.6,28,215
800,100,100,50,0.5,0.49,8,50,0.55,19,30.1,28,165
800,100,100,50,0.5,0.31,8,50,0.56,19,79.4,28,135
800,100,100,50,0.5,0.48,8,50,0.54,19,33.1,28,130
800,100,100,50,0.5,0.3,8,50,0.56,19,61.4,28,170
800,100,100,50,0.5,0.48,8,50,0.55,19,29.6,28,140
800,100,100,50,0.5,0.3,8,50,0.56,19,60.9,28,180
800,100,100,50,0.5,0.48,8,50,0.56,19,31,28,140
800,100,100,50,0.5,0.3,8,50,0,1.25,79,28,75
800,100,100,50,0.5,0.48,8,50,0,1.25,34.6,28,55
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,116
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,120
190.5,76.2,38.1,12.73,0.17,0.31,2.5,63.47,0.54,9.5,78,70,127
381,152.4,38.1,25.45,0.17,0.31,2.5,126.95,0.54,9.5,78,70,144
762,304.8,38.1,51,0.17,0.31,2.5,253.8,0.54,9.5,78,70,150
95.25,38.1,38.1,12.7,0.33,0.3,2.5,25.4,0.55,9.5,84,70,132
190.5,76.2,38.1,25.4,0.33,0.3,2.5,50.8,0.55,9.5,84,70,170
381,152.4,38.1,50.8,0.33,0.3,2.5,101.6,0.55,9.5,84,70,183
95.25,38.1,38.1,12.7,0.33,0.3,2.5,25.4,0.55,9.5,82,70,112
190.5,76.2,38.1,25.4,0.33,0.3,2.5,50.8,0.55,9.5,82,70,168
381,152.4,38.1,50.8,0.33,0.3,2.5,101.6,0.55,9.5,82,70,208
95.25,38.1,38.1,6.36,0.17,0.3,2.5,31.74,0.55,9.5,78,70,108
190.5,76.2,38.1,12.73,0.17,0.3,2.5,63.47,0.55,9.5,78,70,123
381,152.4,38.1,25.45,0.17,0.3,2.5,126.95,0.55,9.5,78,70,135
762,304.8,38.1,51,0.17,0.3,2.5,253.8,0.55,9.5,78,70,145
95.25,38.1,38.1,6.36,0.17,0.3,2.5,31.74,0.55,9.5,88,70,140
190.5,76.2,38.1,12.73,0.17,0.3,2.5,63.47,0.55,9.5,88,70,153
381,152.4,38.1,25.45,0.17,0.3,2.5,126.95,0.55,9.5,88,70,185
762,304.8,38.1,51,0.17,0.3,2.5,253.8,0.55,9.5,88,70,219
95.25,38.1,38.1,6.36,0.17,0.25,2.5,31.74,0.58,9.5,69,70,121
190.5,76.2,38.1,12.73,0.17,0.25,2.5,63.47,0.58,9.5,69,70,127
381,152.4,38.1,25.45,0.17,0.25,2.5,126.95,0.58,9.5,69,70,146
762,304.8,38.1,51,0.17,0.25,2.5,253.8,0.58,9.5,69,70,168
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,125
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,110
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,112
800,100,100,50,0.5,0.34,8,50,0.53,9.5,48,70,120
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,119
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,115
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,118
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,128
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,113
800,100,100,50,0.5,0.3,8,50,0.55,9.5,49,70,126
460,100,100,50,0.5,0.32,4.6,50,0.63,10,81,91,82
460,100,100,50,0.5,0.32,4.6,50,0.63,10,93,91,71
460,100,100,50,0.5,0.23,4.6,50,0.63,10,103,91,61
460,100,100,50,0.5,0.23,4.6,50,0.63,10,104,91,60
